Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3,Part Number,Part Description,Service Line Type
CONTROL PCB UNI SRB fails. It is replaced and now the oven works fine.,"fail, fine, oven, replace, work","fail replace, oven work, replace oven, work fine","fail replace oven, oven work fine, replace oven work",P30Z5048,CONTROL IO ASSY,Parts
E104 and E111,,,,30Z1589,CAVITY OVERHEAT STAT,Parts
E104 and E111,,,,DR0243,THERMOCOUPLE K-700,Parts
CONTROL PCB UNI SRB fails. It is replaced and now the oven works fine.,"fail, fine, oven, replace, work","fail replace, oven work, replace oven, work fine","fail replace oven, oven work fine, replace oven work",P30Z5048,CONTROL IO ASSY,Parts
Investigated microwave oven at 1303 Mt Royal Cafe Doris with front screen said to be falling off. Found newer model with modular design for front touch screen and molded casing with glued border panel seperating. Will need to research replacement front face. Will contact manufacturer to validate warranty. Unit IS in warranty. Will research parts needed and order. Temporarily tapped front screen from falling out. Unit operational currently. Disassembled and removed front control face. Transferred touch screen module and re-assembled front facia. Secured all hardware and restored power to return unit to service. Microwave oven operating normally currently.,"1303, border, case, contact, control, currently, design, disassemble, face, facia, fall, glue, hardware, investigate, manufacturer, microwave, model, modular, module, mold, need, new, normally, operate, operational, order, oven, panel, power, reassemble, removed, replacement, research, restore, return, say, screen, seperate, service, tap, temporarily, touch, transfer, unit, validate, warranty","1303 screen, border panel, case glue, contact manufacturer, control face, currently disassemble, design touch, disassemble removed, face contact, face transfer, facia hardware, fall new, fall operational, glue border, hardware restore, investigate microwave, manufacturer validate, microwave oven, model modular, modular design, module reassemble, mold case, need order, need research, new model, normally currently, operate normally, operational currently, order temporarily, oven 1303, oven operate, panel seperate, power return, reassemble facia, removed control, replacement face, research need, research replacement, restore power, return unit, say fall, screen fall, screen module, screen mold, screen say, seperate need, service oven, tap screen, temporarily tap, touch screen, transfer touch, unit service, validate warranty, warranty research, warranty warranty","1303 screen say, border panel seperate, case glue border, contact manufacturer validate, control face transfer, currently disassemble removed, design touch screen, disassemble removed control, face contact manufacturer, face transfer touch, facia hardware restore, fall new model, fall operational currently, glue border panel, hardware restore power, investigate microwave oven, manufacturer validate warranty, microwave oven 1303, model modular design, modular design touch, module reassemble facia, mold case glue, need order temporarily, need research replacement, new model modular, operate normally currently, operational currently disassemble, order temporarily tap, oven 1303 screen, oven operate normally, panel seperate need, power return unit, reassemble facia hardware, removed control face, replacement face contact, research need order, research replacement face, restore power return, return unit service, say fall new, screen fall operational, screen module reassemble, screen mold case, screen say fall, seperate need research, service oven operate, tap screen fall, temporarily tap screen, touch screen module, touch screen mold, transfer touch screen, unit service oven, validate warranty warranty, warranty research need, warranty warranty research",PDY0079,X12 GLASS OVERLAY,Parts
Wrong temperature indication.,"indication, temperature, wrong","temperature indication, wrong temperature",wrong temperature indication,DV0661,THERMOCOUPLE (OVEN),Parts
Error 105 mains supply frequency issue,"e105, error, frequency, issue, main, supply","e105 main, error e105, frequency issue, main supply, supply frequency","e105 main supply, error e105 main, main supply frequency, supply frequency issue",P30Z5048,CONTROL IO ASSY,Parts
"Oven has error message E105, Main supply frequency issue.","e105, error, frequency, issue, main, message, oven, supply","e105 main, error message, frequency issue, main supply, message e105, oven error, supply frequency","e105 main supply, error message e105, main supply frequency, message e105 main, oven error message, supply frequency issue",P30Z5021,CONTROL PCB UNI SRB PACKED,Parts
CONTROL PCB UNI SRB fails. It is replaced and now the oven works fine.,"fail, fine, oven, replace, work","fail replace, oven work, replace oven, work fine","fail replace oven, oven work fine, replace oven work",P30Z5048,CONTROL IO ASSY,Parts
CONTROL PCB UNI SRB fails. It is replaced and now the oven works fine.,"fail, fine, oven, replace, work","fail replace, oven work, replace oven, work fine","fail replace oven, oven work fine, replace oven work",P30Z5048,CONTROL IO ASSY,Parts
"SUBAGENT: STAR FOODS
10-24-23 After checking supply voltage inn and then after filters found control io assy bad spoke with Dan merrychef tech support he confirmed need to order part.
11-1-23 Replaced control board and tested unit working well, let Luke know it needs to be reprogrammed.","assy, bad, board, check, confirm, control, filter, inn, io, know, let, merrychef, need, order, reprogramme, speak, subagent, supply, support, tech, test, unit, voltage, work","assy bad, bad speak, board test, check supply, confirm need, control board, control io, filter control, inn filter, io assy, know need, let know, merrychef tech, need order, need reprogramme, order control, speak merrychef, subagent check, supply voltage, support confirm, tech support, test unit, unit work, voltage inn, work let","assy bad speak, bad speak merrychef, board test unit, check supply voltage, confirm need order, control board test, control io assy, filter control io, inn filter control, io assy bad, know need reprogramme, let know need, merrychef tech support, need order control, order control board, speak merrychef tech, subagent check supply, supply voltage inn, support confirm need, tech support confirm, test unit work, unit work let, voltage inn filter, work let know",P30Z5048,CONTROL IO ASSY,Parts
"[MICHAEL B. 10/19/2023]
Tech arrived on site to find merrychef oven giving e105 ... tech found the f5 and f6 25 amp fuses both blown... tech also found a issue with the front door switches... unit will need new fuses and switches to repair unit... call on hold for parts



[MICHAEL B. 10/24/2023]
Tech returned to install new door switches and fuses... tech tested unit and both 25 amp fusea blew immediately... tech noticed he worked the switch backwards... call on hold for parts 

[NESTOR L. 12/05/2023]
   Arrive at Quick Check Headquarters to work on the Oven From Fords, NJ. Replace QTY.4 = 25A Fuses. Rewired the Door Switch. Secondary/Interlock Switches. Waited for Machine to Heat. Tested Several times. Working.","25, 25a, amp, arrive, backwards, blow, door, e105, fuse, fusea, hold, immediately, install, issue, merrychef, need, new, notice, oven, repair, return, rewire, site, switch, tech, test, time, unit, wait, work, worked","25 amp, 25a fuse, amp fuse, amp fusea, arrive site, backwards hold, blow immediately, blow tech, door switch, e105 tech, fuse blow, fuse rewire, fuse switch, fuse tech, fusea blow, hold return, hold work, immediately tech, install new, issue door, merrychef oven, need new, new door, new fuse, notice worked, oven e105, repair unit, return install, rewire wait, site merrychef, switch backwards, switch fuse, switch repair, switch unit, tech 25, tech issue, tech notice, tech test, test time, test unit, time work, unit 25, unit hold, unit need, wait test, work 25a, worked switch","25 amp fuse, 25 amp fusea, 25a fuse rewire, amp fuse blow, amp fusea blow, arrive site merrychef, backwards hold work, blow immediately tech, blow tech issue, door switch fuse, door switch unit, e105 tech 25, fuse blow tech, fuse rewire wait, fuse switch repair, fuse tech test, fusea blow immediately, hold return install, hold work 25a, immediately tech notice, install new door, issue door switch, merrychef oven e105, need new fuse, new door switch, new fuse switch, notice worked switch, oven e105 tech, repair unit hold, return install new, rewire wait test, site merrychef oven, switch backwards hold, switch fuse tech, switch repair unit, switch unit need, tech 25 amp, tech issue door, tech notice worked, tech test unit, test time work, test unit 25, unit 25 amp, unit hold return, unit need new, wait test time, work 25a fuse, worked switch backwards",30Z1535,25 AMP LITTLEFUSE FLM025 250V UL AND CSA,Parts
