Index,Original Category,keywords,Description,Assigned Category
0,Other,"[('download', 1), ('drives', 1), ('error', 1), ('format', 1), ('formatted', 1), ('location', 1), ('log', 1), ('ovens', 1), ('standard', 1), ('use', 1), ('windows', 1), ('4gb', 0), ('fat', 0), ('ideally', 0), ('merrychef', 0), ('usb', 0)]","download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Menu Issue
1,Other,"[('alarm', 1), ('closed', 1), ('codes', 1), ('currently', 1), ('firmware', 1), ('keys', 1), ('sending', 1), ('store', 1), ('upgrade', 1), ('merrychef', 0), ('starbucks', 0)]",MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Close Door Error
2,Other,"[('filter', 1), ('loctite', 1), ('sensor', 1), ('closed', 0), ('currently', 0), ('date', 0), ('fsm', 0), ('needs', 0), ('open', 0), ('reach', 0), ('schedule', 0), ('store', 0), ('time', 0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
3,Other,"[('required', 3), ('included', 2), ('parts', 2), ('attached', 1), ('cable', 1), ('cables', 1), ('completion', 1), ('data', 1), ('date', 1), ('enclosed', 1), ('information', 1), ('instruction', 1), ('kit', 1), ('label', 1), ('need', 1), ('office', 1), ('package', 1), ('printed', 1), ('procedures', 1), ('return', 1), ('returned', 1), ('sheet', 1), ('shipped', 1), ('swap', 1), ('tags', 1), ('ties', 1), ('09', 0), ('21', 0), ('addison', 0), ('firmware', 0), ('instructions', 0), ('kccm', 0), ('market', 0), ('module', 0), ('replacement', 0), ('srb', 0), ('technicians', 0), ('turbo', 0), ('update', 0), ('usb', 0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
4,Other,"[('pickup', 2), ('unit', 2), ('3299', 1), ('3608489629', 1), ('chef', 1), ('coordinate', 1), ('existing', 1), ('install', 1), ('merry', 1), ('number', 1), ('oven', 1), ('reachout', 1), ('store', 1), ('used', 1), ('1174', 0), ('319', 0), ('503', 0), ('discard', 0), ('ngo', 0), ('northwest', 0), ('st3299', 0), ('zach', 0)]",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,Upper Impinger Plate
9,Other,"[('chocolate', 2), ('cookies', 1), ('croissants', 1), ('fully', 1), ('happening', 1), ('thing', 1), ('warmed', 1), ('aren', 0)]","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave
11,Other,"[('oven', 2), ('crispier', 1), ('getting', 1), ('hot', 1), ('hotter', 1), ('new', 1), ('really', 1), ('recently', 1), ('replaced', 1), ('temping', 1), ('things', 1)]",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking
12,Other,"[('filter', 1), ('loctite', 1), ('sensor', 1), ('closed', 0), ('currently', 0), ('date', 0), ('fsm', 0), ('needs', 0), ('open', 0), ('reach', 0), ('schedule', 0), ('store', 0), ('time', 0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
13,Other,"[('panels', 2), ('27th', 1), ('285', 1), ('complete', 1), ('installing', 1), ('labor', 1), ('location', 1), ('merrychef', 1), ('ovens', 1), ('parts', 1), ('project', 1), ('replacing', 1), ('retrofit', 1), ('start', 1), ('store', 1), ('supplied', 1), ('weeks', 1), ('invoice', 0), ('october', 0), ('welbilt', 0)]","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Menu Issue
14,Other,"[('required', 3), ('included', 2), ('parts', 2), ('attached', 1), ('cable', 1), ('cables', 1), ('completion', 1), ('data', 1), ('date', 1), ('enclosed', 1), ('information', 1), ('instruction', 1), ('kit', 1), ('label', 1), ('need', 1), ('office', 1), ('package', 1), ('printed', 1), ('procedures', 1), ('return', 1), ('returned', 1), ('sheet', 1), ('shipped', 1), ('swap', 1), ('tags', 1), ('ties', 1), ('09', 0), ('21', 0), ('addison', 0), ('firmware', 0), ('instructions', 0), ('kccm', 0), ('market', 0), ('module', 0), ('replacement', 0), ('srb', 0), ('technicians', 0), ('turbo', 0), ('update', 0), ('usb', 0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
15,Other,"[('half', 1), ('screen', 1), ('time', 1), ('unresponsive', 1), ('touch', 0)]",Touch screen is unresponsive half of the time,Constant Key Press
17,Other,"[('detected', 1), ('key', 1), ('press', 1), ('constant', 0)]",Constant key press detected,Constant Key Press
18,Other,"[('oven', 2), ('away', 1), ('cleaned', 1), ('cleaner', 1), ('day', 1), ('filter', 1), ('goes', 1), ('helps', 1), ('inside', 1), ('minutes', 1), ('multiple', 1), ('sanitizer', 1), ('scrubbed', 1), ('smell', 1), ('terrible', 1), ('times', 1), ('left', 0)]",Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,Air Filter Error
19,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('screen', 1), ('service', 1), ('support', 1), ('getting', 0), ('message', 0)]","Getting a ""constant key press detected. Call service support."" Message on screen",Constant Key Press
20,Other,"[('code', 1), ('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('service', 1), ('support', 1), ('233', 0), ('308', 0), ('warning', 0)]","Warning code constant key press detected call service support X:308, y:233",Constant Key Press
21,Other,"[('constant', 1), ('detected', 1), ('key', 1), ('press', 1), ('says', 1), ('screen', 0)]",Screen says constant key press detected,Constant Key Press
22,Other,"[('oven', 2), ('detected', 1), ('key', 1), ('message', 1), ('press', 1), ('times', 1), ('turned', 1), ('constant', 0), ('left', 0)]","Constant key press detected, turned off oven 3 times and message still there. Left oven",Constant Key Press
24,Other,"[('answer', 1), ('buttons', 1), ('key', 1), ('let', 1), ('phone', 1), ('press', 1), ('push', 1), ('resolve', 1), ('screen', 1), ('shut', 1), ('store', 1), ('tried', 1), ('constant', 0), ('wouldnt', 0)]",Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,Constant Key Press
