Index,Original Category,keywords,Description,Assigned Category
0,Other,"[('download', 3.3333333333333335), ('drives', 3.3333333333333335), ('error', 3.3333333333333335), ('format', 3.3333333333333335), ('formatted', 3.3333333333333335), ('location', 3.3333333333333335), ('log', 3.3333333333333335), ('ovens', 3.3333333333333335), ('standard', 3.3333333333333335), ('use', 3.3333333333333335), ('windows', 3.3333333333333335), ('4gb', 0.0), ('fat', 0.0), ('ideally', 0.0), ('merrychef', 0.0), ('usb', 0.0)]","download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Menu Issue
1,Other,"[('alarm', 6.25), ('closed', 6.25), ('codes', 6.25), ('currently', 6.25), ('firmware', 6.25), ('keys', 6.25), ('sending', 6.25), ('store', 6.25), ('upgrade', 6.25), ('merrychef', 0.0), ('starbucks', 0.0)]",MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Close Door Error
2,Other,"[('filter', 3.7037037037037033), ('loctite', 3.7037037037037033), ('sensor', 3.7037037037037033), ('closed', 0.0), ('currently', 0.0), ('date', 0.0), ('fsm', 0.0), ('needs', 0.0), ('open', 0.0), ('reach', 0.0), ('schedule', 0.0), ('store', 0.0), ('time', 0.0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
3,Other,"[('required', 3.4090909090909087), ('included', 2.272727272727273), ('parts', 2.272727272727273), ('attached', 1.1363636363636365), ('cable', 1.1363636363636365), ('cables', 1.1363636363636365), ('completion', 1.1363636363636365), ('data', 1.1363636363636365), ('date', 1.1363636363636365), ('enclosed', 1.1363636363636365), ('information', 1.1363636363636365), ('instruction', 1.1363636363636365), ('kit', 1.1363636363636365), ('label', 1.1363636363636365), ('need', 1.1363636363636365), ('office', 1.1363636363636365), ('package', 1.1363636363636365), ('printed', 1.1363636363636365), ('procedures', 1.1363636363636365), ('return', 1.1363636363636365), ('returned', 1.1363636363636365), ('sheet', 1.1363636363636365), ('shipped', 1.1363636363636365), ('swap', 1.1363636363636365), ('tags', 1.1363636363636365), ('ties', 1.1363636363636365), ('09', 0.0), ('21', 0.0), ('addison', 0.0), ('firmware', 0.0), ('instructions', 0.0), ('kccm', 0.0), ('market', 0.0), ('module', 0.0), ('replacement', 0.0), ('srb', 0.0), ('technicians', 0.0), ('turbo', 0.0), ('update', 0.0), ('usb', 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
4,Other,"[('pickup', 5.0), ('unit', 5.0), ('3299', 2.5), ('3608489629', 2.5), ('chef', 2.5), ('coordinate', 2.5), ('existing', 2.5), ('install', 2.5), ('merry', 2.5), ('number', 2.5), ('oven', 2.5), ('reachout', 2.5), ('store', 2.5), ('used', 2.5), ('1174', 0.0), ('319', 0.0), ('503', 0.0), ('discard', 0.0), ('ngo', 0.0), ('northwest', 0.0), ('st3299', 0.0), ('zach', 0.0)]",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,Upper Impinger Plate
9,Other,"[('chocolate', 10.526315789473683), ('cookies', 5.263157894736842), ('croissants', 5.263157894736842), ('fully', 5.263157894736842), ('happening', 5.263157894736842), ('thing', 5.263157894736842), ('warmed', 5.263157894736842), ('aren', 0.0)]","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave
11,Other,"[('oven', 6.666666666666667), ('crispier', 3.3333333333333335), ('getting', 3.3333333333333335), ('hot', 3.3333333333333335), ('hotter', 3.3333333333333335), ('new', 3.3333333333333335), ('really', 3.3333333333333335), ('recently', 3.3333333333333335), ('replaced', 3.3333333333333335), ('temping', 3.3333333333333335), ('things', 3.3333333333333335)]",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking
12,Other,"[('filter', 3.7037037037037033), ('loctite', 3.7037037037037033), ('sensor', 3.7037037037037033), ('closed', 0.0), ('currently', 0.0), ('date', 0.0), ('fsm', 0.0), ('needs', 0.0), ('open', 0.0), ('reach', 0.0), ('schedule', 0.0), ('store', 0.0), ('time', 0.0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
13,Other,"[('panels', 3.7735849056603774), ('27th', 1.8867924528301887), ('285', 1.8867924528301887), ('complete', 1.8867924528301887), ('installing', 1.8867924528301887), ('labor', 1.8867924528301887), ('location', 1.8867924528301887), ('merrychef', 1.8867924528301887), ('ovens', 1.8867924528301887), ('parts', 1.8867924528301887), ('project', 1.8867924528301887), ('replacing', 1.8867924528301887), ('retrofit', 1.8867924528301887), ('start', 1.8867924528301887), ('store', 1.8867924528301887), ('supplied', 1.8867924528301887), ('weeks', 1.8867924528301887), ('invoice', 0.0), ('october', 0.0), ('welbilt', 0.0)]","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Menu Issue
14,Other,"[('required', 3.4090909090909087), ('included', 2.272727272727273), ('parts', 2.272727272727273), ('attached', 1.1363636363636365), ('cable', 1.1363636363636365), ('cables', 1.1363636363636365), ('completion', 1.1363636363636365), ('data', 1.1363636363636365), ('date', 1.1363636363636365), ('enclosed', 1.1363636363636365), ('information', 1.1363636363636365), ('instruction', 1.1363636363636365), ('kit', 1.1363636363636365), ('label', 1.1363636363636365), ('need', 1.1363636363636365), ('office', 1.1363636363636365), ('package', 1.1363636363636365), ('printed', 1.1363636363636365), ('procedures', 1.1363636363636365), ('return', 1.1363636363636365), ('returned', 1.1363636363636365), ('sheet', 1.1363636363636365), ('shipped', 1.1363636363636365), ('swap', 1.1363636363636365), ('tags', 1.1363636363636365), ('ties', 1.1363636363636365), ('09', 0.0), ('21', 0.0), ('addison', 0.0), ('firmware', 0.0), ('instructions', 0.0), ('kccm', 0.0), ('market', 0.0), ('module', 0.0), ('replacement', 0.0), ('srb', 0.0), ('technicians', 0.0), ('turbo', 0.0), ('update', 0.0), ('usb', 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
