Index,Original Category,keywords,Description,Assigned Category
0,Other,"['4gb', 'download', 'drives', 'error', 'fat', 'format', 'formatted', 'ideally', 'location', 'log', 'merrychef', 'ovens', 'standard', 'usb', 'use', 'windows']","download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Menu Issue
1,Other,"['alarm', 'closed', 'codes', 'currently', 'firmware', 'keys', 'merrychef', 'sending', 'starbucks', 'store', 'upgrade']",MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Close Door Error
2,Other,"['store', 'closed', 'currently', 'date', 'filter', 'fsm', 'loctite', 'needs', 'open', 'reach', 'schedule', 'sensor', 'time']","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
3,Other,"['parts', 'required', 'cable', 'cables', 'firmware', 'included', 'addison', 'attached', 'completion', 'data', 'date', 'enclosed', 'information', 'instruction', 'instructions', 'kccm', 'kit', 'label', 'market', 'module', 'need', 'office', 'package', 'printed', 'procedures', 'replacement', 'return', 'returned', 'sheet', 'shipped', 'srb', 'swap', 'tags', 'technicians', 'ties', 'turbo', 'update', 'usb', '09', '21']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
4,Other,"['pickup', 'unit', '3608489629', 'chef', 'coordinate', 'discard', 'existing', 'install', 'merry', 'ngo', 'northwest', 'number', 'oven', 'reachout', 'st3299', 'store', 'used', 'zach', '1174', '319', '3299', '503']",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,Upper Impinger Plate
9,Other,"['chocolate', 'cookies', 'croissants', 'fully', 'happening', 'thing', 'warmed', 'aren']","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave
11,Other,"['oven', 'crispier', 'getting', 'hot', 'hotter', 'new', 'really', 'recently', 'replaced', 'temping', 'things']",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking
12,Other,"['store', 'closed', 'currently', 'date', 'filter', 'fsm', 'loctite', 'needs', 'open', 'reach', 'schedule', 'sensor', 'time']","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error
13,Other,"['panels', 'welbilt', '27th', '285', 'complete', 'installing', 'invoice', 'labor', 'location', 'merrychef', 'october', 'ovens', 'parts', 'project', 'replacing', 'retrofit', 'start', 'store', 'supplied', 'weeks']","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Menu Issue
14,Other,"['parts', 'required', 'cable', 'cables', 'firmware', 'included', 'addison', 'attached', 'completion', 'data', 'date', 'enclosed', 'information', 'instruction', 'instructions', 'kccm', 'kit', 'label', 'market', 'module', 'need', 'office', 'package', 'printed', 'procedures', 'replacement', 'return', 'returned', 'sheet', 'shipped', 'srb', 'swap', 'tags', 'technicians', 'ties', 'turbo', 'update', 'usb', '09', '21']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
15,Other,"['half', 'screen', 'time', 'touch', 'unresponsive']",Touch screen is unresponsive half of the time,Constant Key Press
17,Other,"['constant', 'detected', 'key', 'press']",Constant key press detected,Constant Key Press
18,Other,"['oven', 'away', 'cleaned', 'cleaner', 'day', 'filter', 'goes', 'helps', 'inside', 'left', 'minutes', 'multiple', 'sanitizer', 'scrubbed', 'smell', 'terrible', 'times']",Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,Air Filter Error
19,Other,"['constant', 'detected', 'getting', 'key', 'message', 'press', 'screen', 'service', 'support']","Getting a ""constant key press detected. Call service support."" Message on screen",Constant Key Press
20,Other,"['code', 'constant', 'detected', 'key', 'press', 'service', 'support', 'warning', '233', '308']","Warning code constant key press detected call service support X:308, y:233",Constant Key Press
21,Other,"['constant', 'detected', 'key', 'press', 'says', 'screen']",Screen says constant key press detected,Constant Key Press
22,Other,"['oven', 'constant', 'detected', 'key', 'left', 'message', 'press', 'times', 'turned']","Constant key press detected, turned off oven 3 times and message still there. Left oven",Constant Key Press
24,Other,"['answer', 'buttons', 'constant', 'key', 'let', 'phone', 'press', 'push', 'resolve', 'screen', 'shut', 'store', 'tried', 'wouldnt']",Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,Constant Key Press
43,Other,"['55', '66', 'constant', 'detected', 'finished', 'heating', 'key', 'press', 'said', 'service', 'sh', 'support', 'warning', '5am', '9pm']","When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm",Constant Key Press
45,Other,"['saying', 'constant', 'detected', 'display', 'error', 'key', 'press', 'release', 'screen', 'service', 'support', 'touch', 'warning']","Display saying ""warning constant key press detected call service support"" and an error saying release touch screen",Constant Key Press
48,Other,"['oven', 'ovens', '2006213090071', 'actually', 'available', 'black', 'called', 'chico', 'code', 'e104', 'eicon', 'error', 'gives', 'hours', 'installed', 'maintenance', 'message', 'morning', 'new', 'newer', 'night', 'note', 'overheating', 'overheats', 'pm', 'said', 'says', 'serial', 'shift', 'start', 'sticky', 'store', 'trbl', 'turned', '30', 'won']","Chico Shift called because they had two new ovens installed last night. This morning there was a sticky note on one that said this oven overheats, call in for maintenance. When the oven is turned on it gives a message that says its overheating and it won't actually start. Error Code E104 These Are the newer black EICON ovens No Trbl Available Serial #2006213090071 Store Hours 5 am- 7:30 pm",116 Heater OFF on Request
49,Other,"['1456', '430', '730pm', 'asset', 'called', 'code', 'cook', 'cooking', 'count', 'cycles', 'does', 'e2s', 'error', 'failed', 'gianna', 'heater', 'installed', 'just', 'keeps', 'log', 'merrychef', 'middle', 'new', 'oven', 'ovens', 'says', 'sh', 'ss', 'turning', 'week', '2006213090071', 'sn']","Gianna, SS, called in because new oven says heater failed. Keeps turning off in the middle of cooking cycles. Was just installed last week. Can not get cook count or error code log. SH: 430 am to 730pm SN:2006213090071 Asset: does not have MerryChef E2S Ovens - 1456",Power Supply
52,Other,"['constant', 'detected', 'key', 'press']",Constant key press detected,Constant Key Press
53,Other,"['cooking', 'food', 'left', 'oven', 'way']",Left oven is not cooking the food all the way,Food Not Cooking Properly
64,Other,"['cook', 'correctly', 'food', 'items', 'wont']",It wont cook food items correctly,Air Filter Error
65,Other,"['cooking', 'completing', 'cycle', 'items', 'oven', 'seconds']",Oven not completing cooking cycle. Only cooking items for a few seconds,101 Magnetron Failure
81,Other,"['damaged', 'handle']",Handle damaged,Broken Door Handle
82,Other,"['constant', 'detected', 'key', 'press', 'service', 'support', 'warning']",Warning constant key press detected call service support,Constant Key Press
83,Other,"['tray', 'plastic', 'burned', 'damaged', 'inside', 'melted', 'needed', 'oven', 'partners', 'replacement', 'scraping', 'tried', 'unusable']",Plastic was burned on the oven tray which damaged the tray and is now unusable. A replacement tray for the inside is needed. Partners tried scraping melted plastic off.,Tray/Peg Issue
93,Other,"['allowing', 'calling', 'multiple', 'reach', 'store', 'times', 'tried', 'unsuccessful', 'use', '12am', 'sh430am']",*tried calling store multiple times however its unsuccessful to reach them. Not allowing us to use it sh430am-12am,Loose Door Handle
98,Other,"['cook', 'pesto', 'turkey']",Can not cook turkey pesto,102 Heater On Without Request
120,Other,"['cooking', 'e2s', 'merrychef', 'oven', 'ovens', 'powering', 'qr', 'sh', 'shooting', 'states', 'trouble', '11p', '1456', '20062130090129', '30', 'issue', 'sarah', 'shift']",Sarah-shift- states that oven is cooking and then powering off/ No trouble shooting for this issue/ Merrychef E2S Ovens - 1456/ QR# 20062130090129/ SH: 4:30-11p,116 Heater OFF on Request
122,Other,"['merrychef', '1456', 'called', 'code', 'e2s', 'error', 'gives', 'issues', 'mariah', 'oven', 'ovens', 'overheating', 'shift', '11pm', '430am', 'sh']","Mariah, SHIFT called about issues with the Merrychef oven. Gives an error code about overheating. SH- 430am-11pm Merrychef E2S Ovens - 1456",Loose Door Handle
138,Other,"['come', 'got', 'heating', 'level', 'new', 'pegs', 'plates', 'replace', 'said', 'tech', 'unit']","Unit Not Level, Tech said he would come back and replace the pegs for us when we got new heating plates.",Convection
153,Other,"['working', 'did', 'glitching', 'screen', 'troubleshoot']",Did troubleshoot still not working screen is glitching and not working,Constant Key Press
154,Other,"['code', 'displaying', 'error', 'oven', 'power', 'warning', '1030pm', 'sh430am']",Oven displaying warning error code. Will not power up. sh430am-1030pm,Constant Key Press
155,Other,"['1456', 'access', 'chef', 'constant', 'cord', 'detected', 'e2s', 'error', 'key', 'left', 'merry', 'merrychef', 'oven', 'ovens', 'partner', 'power', 'press', 'reading', 'reported', 'shift', 'store', 'zoe', '11pm', '2006213090138', '30am', '7290303926', 'asset', 'hours', 'serial']",Zoe Shift reported the left Merry Chef oven is reading Constant Key Press Detected Error. The partner can't access the power cord. Serial-2006213090138 Asset-7290303926 Store Hours- 4:30AM-11PM Merrychef E2S Ovens - 1456,116 Heater OFF on Request
158,Other,"['closed', 'door', 'open', 'registering']",Registering that door is open even when closed.,Close Door Error
159,Other,"['comes', 'consistently', 'odd', 'odor', 'oven', 'smoke']",Smoke consistently comes out the side of oven. Very odd odor.,Smoking
173,Other,"['constant', 'detected', 'key', 'press', 'working']",*constant key press detected Not working,Constant Key Press
174,Other,"['screen', 'service', 'support', 'touch', 'working']",Touch screen not working **call service support**,Constant Key Press
176,Other,"['oven', 'peel', 'started']",The top of the oven has started to peel off.,103 Ambient Overtemp
180,Other,"['clean', 'continues', 'filter', 'giving', 'keeps', 'message', 'problem', 'removed', 'tried']",Keeps giving a filter removed message. Tried to clean it out but problem continues,Air Filter Error
184,Other,"['error', 'frozen', 'message', 'screen']",Screen is frozen on error message,102 Heater On Without Request
212,Other,"['screen', 'button', 'calibration', 'constant', 'detected', 'key', 'lpading', 'non', 'oven', 'press', 'push', 'responsive', 'said', 'says', 'service', 'support', 'touch', 'turn', 'went', 'white']",Oven screen says constant key press detected call service support. Then said lpading touch calibration and went white. Screen is non responsive and will not turn off with push of the button,Constant Key Press
213,Other,"['constant', 'detected', 'key', 'press']",Constant key press detected,Constant Key Press
217,Other,"['screen', 'touch', 'working']",Touch screen not working at all,Constant Key Press
245,Other,"['constant', 'detected', 'key', 'press', 'says', 'service', 'support', 'warning']",Says warning constant key press detected. Call service support,Constant Key Press
246,Other,"['constant', 'detected', 'key', 'machine', 'press', 'respond', 'wont']",*constant key press detected I machine wont respond,Constant Key Press
247,Other,"['constant', 'detected', 'key', 'press', 'service', 'support']",Constant key press detected call service support,Constant Key Press
248,Other,"['needs', 'oven', 'replacement', 'right', 'tray']",Right Oven tray needs replacement,Cavity
290,Other,"['guide', 'follow', 'asked', 'correctly', 'determine', 'easy', 'guardian', 'isn', 'module', 'partners', 'send', 'shooting', 'stores', 'trouble', 'troubleshooting', 'ultimately', 'working']",“Follow troubleshooting guide to determine why the guardian module isn’t working correctly. This will ultimately be the trouble shooting guide they send to the stores. We are being asked to see if this guide will be easy to follow for their partners.”,No Power
291,Other,"['screen', 'happens', 'oven', 'touch', 'begin', 'calibration', 'comes', 'does', 'let', 'pass', 'reads', 'release', 'sign', 'thing', 'tried', 'turn', 'warning']","Oven screen reads ""release touch screen to begin calibration"" and it does not let us by pass it then a warning sign comes up but nothing happens when we touch the screen. We tried to turn oven off and back on and the same thing happens.",Constant Key Press
293,Other,"['does', 'heat', 'oven', 'respond', 'screen', 'start', 'touch', 'wont']",Oven wont start to heat up and touch screen does not respond,103 Ambient Overtemp
294,Other,"['message', 'click', 'constant', 'detected', 'giving', 'key', 'let', 'oven', 'press', 'says', 'screen', 'service', 'support', 'tried', 'turning', 'doesn']","Oven doesn't let us click on it and there is a message that says, ""constant key press detected. Call service support"" tried turning it on and off, but it is still giving the same message on the screen.",Constant Key Press
320,Other,"['serial', 'oven', 'install', 'new', 'good', 'guardian', 'merrychef', 'number', 'numbers', 'old', 'po', 'tested', '100', '516', '616', '811019', 'arrival', 'comments', 'complete', 'completion', 'disposal', 'dispose', 'dual', 'installed', 'job', 'offsite', 'ovens', 'photo', 'placement', 'remove', 'removed', 'replacement', 'report', 'required', 'schedule', 'store', 'tech', 'total']","***DUAL MERRYCHEF Oven Replacement*** $516 for install, $100 for disposal, $616 total PO Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Number: Guardian Serial: Tested: GOOD Old oven serial #s: PO #811019",116 Heater OFF on Request
321,Other,"['parts', 'required', 'cable', 'cables', 'firmware', 'included', 'addison', 'attached', 'completion', 'data', 'date', 'enclosed', 'information', 'instruction', 'instructions', 'kccm', 'kit', 'label', 'market', 'module', 'need', 'office', 'package', 'printed', 'procedures', 'replacement', 'return', 'returned', 'sheet', 'shipped', 'srb', 'swap', 'tags', 'technicians', 'ties', 'turbo', 'update', 'usb', '09', '21']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
349,Other,"['parts', 'required', 'cable', 'cables', 'firmware', 'included', 'addison', 'attached', 'completion', 'data', 'date', 'information', 'instruction', 'instructions', 'kccm', 'kit', 'label', 'market', 'module', 'need', 'office', 'package', 'printed', 'procedures', 'replacement', 'return', 'returned', 'sheet', 'shipped', 'srb', 'swap', 'tags', 'technicians', 'ties', 'turbo', 'update', 'usb', '09', '21']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label",Menu Issue
402,Other,"['constant', 'detected', 'key', 'oven', 'press', 'says', 'service', 'support']","Oven says ""constant key press detected call service support",Constant Key Press
405,Other,"['door', 'oven', 'appear', 'closed', 'displays', 'error', 'intermittent', 'issue', 'left', 'open', 'starting']","Left side oven displays ""oven door open"" error even though the door is closed. It is an intermittent issue and is starting to appear more often.",Power Supply
409,Other,"['door', 'jolted', 'oven', 'display', 'easily', 'fine', 'inside', 'sensitive', 'slams', 'works']","Oven works fine, but the display jolted inside. Oven door seems to be more sensitive than the other door in that it slams easily which is why it may have jolted around.",tool
411,Other,"['oven', 'respond', 'screen', 'slow', 'touch']",Oven touch screen slow to respond,Constant Key Press
419,Other,"['got', 'handle', 'inside', 'like', 'unscrewed']",It seems like handle got unscrewed somehow from the inside.,Broken Door Handle
420,Other,"['9513717275', 'answer', 'calling', 'constant', 'error', 'key', 'press', 'store', 'treid', 'unolug']",CONSTANT KEY PRESS ERROR TREID CALLING STORE TO HAVE THEM UNOLUG NO ANSWER 9513717275,Constant Key Press
423,Other,"['asap', 'believe', 'fixed', 'missing', 'needs', 'screw']",I believe its missing a screw needs to be fixed asap,Cavity
453,Other,"['constant', 'detected', 'key', 'message', 'press', 'service', 'support', 'warning']","""warning constant key press detected - call service support"" message",Constant Key Press
