Completion Note,Description,Category,WO#
Downloaded error codes and verified serial numbers,"download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Menu Issue,ST328001
Firmware update completed on both ovens,MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Power Supply,ST328002
Loctite update done,"Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error,ST328003
nan,"Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue,ST328006
"Removed and replaced Turbochef S/N NGOD 43285
with Merrychef S/N 1907213091370. Merrychef oven is operationally checked with no discrepancies noted.",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,No Power,ST3299007
Menu update,Oven did not update for Winter launch. Tried using the update USB and it did not work. Oven needs updated,Menu Issue,ST3299009
"Arrived on site, store using oven heavily all day without issue. Watched them cook several items.
Mags, Heater, Fan and board all testing fine. 
Could not duplicate issue.
Updated menu while on site","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave,ST3299013
Updated menu,Oven needs to be connected to internet because it is not up to date on the display. Menu items needs to be updated on display. It cannot be updated unless wired to the internet.,Menu Issue,ST18628033
"RightE2S 

Faults
0

Volts
208

Amps
R-8.3
L-8.3

Heater Amps 
10.9

Checked EC , unable to recreate issue 

Tested unit all tests passed with zero results 

Drew",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking,ST18628034
Loctite update for filter sensor completed,"Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Close Door Error,ST328004
"Replaced both ovens back panels, downloaded error codes and cook counter.","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Control,ST328005
nan,"Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue,ST328007
