Asset Name,Work Order Address,Date/Time Created,Customer Name,Work Description,Completion Note,Part Description,Quantity,Part Name,WO#,Billing Account Name,Completion_Note_cleaned
nan,3000 184th St SW #368 Lynnwood WA 98037 US,2020-01-30 10:26:54,328 Starbucks Corporate,"MerryChef VERIFY SN:Other:download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Downloaded error codes and verified serial numbers,nan,0,,ST328001,Welbilt,download error code verify serial number
nan,3000 184th St SW #368 Lynnwood WA 98037 US,2020-03-30 07:46:01,328 Starbucks Corporate,MerryChef VERIFY SN:Other:MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Firmware update completed on both ovens,nan,0,,ST328002,Welbilt,firmware update complete oven
nan,3000 184th St SW #368 Lynnwood WA 98037 US,2020-05-04 14:47:59,328 Starbucks Corporate,"1907213091370:Other:Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Loctite update done,nan,0,,ST328003,Welbilt,loctite update do
1907213091370,3000 184th St SW #368 Lynnwood WA 98037 US,2021-06-03 07:29:26,328 Starbucks Corporate,"1907213091370:Other:Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",nan,nan,0,,ST328006,Welbilt,nan
MerryChef Area,2601 E. Division Mt Vernon WA 98274 US,2021-08-10 10:25:49,3299 Starbucks Corporate,MerryChef:Other:1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,"Removed and replaced Turbochef S/N NGOD 43285
with Merrychef S/N 1907213091370. Merrychef oven is operationally checked with no discrepancies noted.",nan,0,,ST3299007,Starbucks,Removed replace Turbochef SN ngod 43285with Merrychef SN 1907213091370 Merrychef oven operationally check discrepancy note
nan,2601 E. Division Mt Vernon WA 98274 US,2023-06-30 15:14:22,3299 Starbucks Corporate,1907213091370:Constant Key Press:Display just out of nowhere started saying this. Will not let us select the green check mark. Phone assist / resolved,Phone assist/ resolved,nan,0,,ST3299008,Starbucks,phone assist resolve
1907213091370,2601 E. Division Mt Vernon WA 98274 US,2024-01-03 12:40:41,3299 Starbucks Corporate,1907213091370:Menu Issue:Oven did not update for Winter launch. Tried using the update USB and it did not work. Oven needs updated,Menu update,nan,0,,ST3299009,Starbucks,Menu update
1907213091370,2601 E. Division Mt Vernon WA 98274 US,2024-04-12 10:09:13,3299 Starbucks Corporate,"1907213091370:No Power:Store no : 3299 Name: TAYLOR /3608489629 Position : SS Issue : oven has no power, we do trouble shooting but did not re solve the issue Store HOURS: 6am till 6 pm for the whole week KB0012272 Asset tag: 7290046779 Hard Reset Resolution: Clear the Constant Key Press error message by power cycling the main power supply of the oven (Not the Oven ON/OFF switch). Cycle the Main Power by unplugging the oven from the power source (electrical plug) and then plugging it back in.",Arrived onsite and found oven powered off. Found breaker trip. Reset breaker and found oven displayed an open door error. Replaced blown 20A fuse and tested all components with no other issues. Oven is now operating properly.,"Fuse, 20A",1,30Z1177,ST3299011,Starbucks,arrive onsite find oven power find breaker trip Reset breaker find oven display open door error Replaced blow 20a fuse component issue Oven operate properly
1907213091370,2601 E. Division Mt Vernon WA 98274 US,2024-04-26 08:00:31,3299 Starbucks Corporate,1907213091370:101 Magnetron Failure:Oven magnetron error. Troubleshooting did not fix issue. Second ticket in a month,Arrived onsite and found oven down with a magnetron failure. Troubleshooted and found left side magnetron failed. Tested right side with no issues. Replaced left magnetron and tested all oven components with no other issues. Test cooked a product for leaving site.,"Magnetron, Toshiba 2M303H Based",1,P30Z1415,ST3299012,Starbucks,arrive onsite find oven magnetron failure troubleshoot find left side magnetron fail right side issue replace leave magnetron oven component issue test cook product leave site
1907213091370,2601 E. Division Mt Vernon WA 98274 US,2024-05-05 04:48:35,3299 Starbucks Corporate,"1907213091370:Other:The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies","Arrived on site, store using oven heavily all day without issue. Watched them cook several items.
Mags, Heater, Fan and board all testing fine. 
Could not duplicate issue.
Updated menu while on site",nan,0,,ST3299013,Starbucks,arrive site store use oven heavily day without issue watch cook several itemsmags Heater Fan board testing could duplicate issueupdate menu site
1907213091375,16314 Bothell Everett Hwy Mill Creek WA 98012 US,2023-08-23 14:55:14,18628 Starbucks Corporate,1907213091375:Menu Issue:Oven needs to be connected to internet because it is not up to date on the display. Menu items needs to be updated on display. It cannot be updated unless wired to the internet.,Updated menu,nan,0,,ST18628033,Starbucks,Updated menu
1907213091375,16314 Bothell Everett Hwy Mill Creek WA 98012 US,2023-09-13 14:19:46,18628 Starbucks Corporate,1907213091375:Other:This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,"RightE2S 

Faults
0

Volts
208

Amps
R-8.3
L-8.3

Heater Amps 
10.9

Checked EC , unable to recreate issue 

Tested unit all tests passed with zero results 

Drew",nan,0,,ST18628034,Starbucks,righte2s faults0volts208ampsr83l83heater Amps 109checke EC unable recreate issue unit test pass zero result Drew
nan,3000 184th St SW #368 Lynnwood WA 98037 US,2020-05-04 14:50:32,328 Starbucks Corporate,"1907213091375:Other:Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Loctite update for filter sensor completed,nan,0,,ST328004,Welbilt,loctite update filter sensor complete
nan,3000 184th St SW #368 Lynnwood WA 98037 US,2020-10-20 13:54:02,328 Starbucks Corporate,"1907213091375:Other:We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt","Replaced both ovens back panels, downloaded error codes and cook counter.",nan,0,,ST328005,Welbilt,replace oven back panel download error code cook counter
1907213091375,3000 184th St SW #368 Lynnwood WA 98037 US,2021-06-03 07:30:38,328 Starbucks Corporate,"1907213091375:Other:Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",nan,nan,0,,ST328007,Welbilt,nan
nan,3461 E. Causeway Approach Mandeville LA 70448 US,2022-08-17 14:03:08,10830 Starbucks Corporate,2006213090069:Other:Touch screen is unresponsive half of the time,nan,nan,0,,ST10830022,Starbucks,nan
TurboChef,2710 Dublin Blvd Dublin CA 94568 US,2020-12-16 05:09:17,22633 Starbucks Corporate,2006213090069:Other:Says magnetron failed contact merrychef service. Popped up with error message in the middle of warming up an item,"Left 
Cook Count 32311
E101

Low mag current.

Selecting 240 VAC, actual service is 211 VAC.

Replaced SRB.
Ran system tests, no option to run recommission test.
reset D&T.
Verified menu loading and product cooked correct.",Control PCB UNI SRB,1,P30Z5021,ST22633013,Welbilt,leave Cook Count 32311e101low mag currentSelecting 240 VAC actual service 211 vacreplaced SRBRan system test option run recommission testreset DTVerified menu loading product cook correct
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-03-17 15:40:19,22633 Starbucks Corporate,2006213090069:Other:Constant key press detected,"Phone Resolution 

Called store, spoke with Saxon, had him power cycle oven. This corrected problem.

Oven operating nominally

Closed with FCC @ 1720 PST",nan,0,,ST22633015,Starbucks,Phone Resolution call store speak Saxon power cycle oven correct problemoven operate nominallyclosed FCC 1720 PST
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-03-18 08:02:28,22633 Starbucks Corporate,2006213090069:Other:Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,"Left Oven
Cook Count: 60215

Found oven in use, customer says it has not smelled all day. 

Smell likely from food debris or oven cleaner.

Unable to duplicate issue.

Left Mag: 8.2
Right Mag: 8.3
Heater: 10.7
Blower and all fans are operational. Set date and time. 


Closed with FCC at 1519PST",nan,0,,ST22633016,Starbucks,leave OvenCook Count 60215found oven use customer say smelled day Smell likely food debris oven cleanerunable duplicate issueleft Mag 82Right Mag 83heater 107blower fan operational Set date time Closed FCC 1519pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-07-11 04:14:42,22633 Starbucks Corporate,"2006213090069:Other:Getting a ""constant key press detected. Call service support."" Message on screen","PHR with Stephanie 
Had her cycle power",nan,0,,ST22633017,Starbucks,PHR Stephanie cycle power
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-10-20 08:48:50,22633 Starbucks Corporate,"2006213090069:Other:Warning code constant key press detected call service support X:308, y:233","Called spoke with Ralph had him power cycle the oven, this fixed the issue. Closed with FCC at 1102PST",nan,0,,ST22633018,Starbucks,call speak Ralph power cycle oven fix issue Closed FCC 1102pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-11-26 13:21:36,22633 Starbucks Corporate,2006213090069:Other:Screen says constant key press detected,"Left Oven
Cook Count: 138,600

Found oven reading constant key press detected. Power cycled and reheated oven. 

Left Mag: 8.4
Right Mag: 8.2
Heater: 11.1
Blower and all fans are operational. Set date and time. 


Closed with FCC at 0922PST",nan,0,,ST22633020,Starbucks,leave OvenCook Count 138600found oven read constant key press detect Power cycle reheat oven Left Mag 84Right Mag 82heater 111blower fan operational Set date time Closed FCC 0922pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2021-12-16 08:39:15,22633 Starbucks Corporate,"2006213090069:Other:Constant key press detected, turned off oven 3 times and message still there. Left oven","Left oven 
CC 145069
Constant key press 

Ovens on on arrival
All functions working properly 
L mag 8.3,R mag 8.3
Current menu holiday 22
Tested with cook

Closed with FCC at 1703pst",nan,0,,ST22633021,Starbucks,leave oven CC 145069constant key press Ovens arrivalall function work properly L mag 83r mag 83Current menu holiday 22teste cookclose FCC 1703pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-04-05 11:30:56,22633 Starbucks Corporate,2006213090069:Other:Left oven is not producing a temperature that is sufficient to fully warm up sandwiches. Just Still seems a bit cold in the middle for various sandwiches. Only adjustments is that we have been toasting the sandwiches longer than normal to make sure the sandwich is fully cooked. Thank you!,"Left oven 2006213090069
Cc: 178,616
7-E101
212v
Magnetron: 3.7 , 8.2
Heater : 10.a
Oven was not in operation upon arrival 
The problem: E101 error not cooking food completely 

Found: Left magnetron measured for resistance found out of spec. 

Actions: replaced left magnetron ran system test no faults found, ran product test 0 faults.","Magnetron, Toshiba 2M303H Based",1,P30Z1415,ST22633023,Starbucks,leave oven 2006213090069cc 1786167E101212vMagnetron 37 82heater 10aoven operation upon arrival problem E101 error cook food completely find Left magnetron measure resistance find spec Actions replace leave magnetron run system test fault find run product test 0 fault
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-05-09 08:26:41,22633 Starbucks Corporate,2006213090069:Other:Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,"Called spoke with Alexa had her power cycle the oven this fixed the issue. 

Closed with FCC at 1043PST",nan,0,,ST22633024,Starbucks,call speak Alexa power cycle oven fix issue Closed FCC 1043pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-06-26 08:02:11,22633 Starbucks Corporate,"2006213090069:Loud Noises:Oven is making a noise whenever trying to cook something. The timer will pause for a second or two and noise will start. Before noticing said issue, parchment of a cookie caught on fire inside the oven.","Left Oven
Cook Count: 204517
Faults: None
Voltage: 208(210)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.2

Issue: Oven has damaged cook tray and studs.

Resolution: Had FSM order two cook plates. Will call both ovens in after cook plates arrove.

Closed with FCC at 1613PST",nan,0,,ST22633025,Starbucks,leave OvenCook Count 204517faults NoneVoltage 208210amps right 83 left 82heater Amps 102issue Oven damage cook tray studsresolution FSM order two cook plate call oven cook plate arroveclose FCC 1613pst
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,,22633 Starbucks Corporate,"2006213090069:Loud Noises:Alexis (Shift) called because the MerryChef Assest#:7290124850 is not heating food items correctly and has been making strange noises including a knocking and a grinding sound. Previous ticket #19926166 from 6/25 is listed as completed, however the issue persists. Store hrs:4a-10p KBA 12272",Stubs and tray causing arching and noise. Store manager will order two cook trays and call both ovens back in,nan,0,,ST22633026,Starbucks,stub tray cause arch noise Store manager order two cook tray call oven back
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-08-09 08:46:56,22633 Starbucks Corporate,"2006213090069:Other:This oven has been called in numerous amount of times, although not sure if the same issue about it was called in, but one of the legs(back right) that holds the tray is melted down and does not support the warming plate. This results in the plate tilting to one side. Thank you","Left oven 
Cook count 
208v
No errors 

Found burnt cavity stubs and burnt cook tray
Replaced stubs and cook plate
All other functions working properly 
L mag 8.4
R mag 8.4
Heater 10.8",e2s Cavity X4 Stub Kit Replacement C-Pla,1,PSB1148,ST22633027,Starbucks,leave oven Cook count 208vno error find burn cavity stub burn cook trayreplace stub cook plateall function work properly L mag 84r mag 84heat 108
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-08-09 08:46:56,22633 Starbucks Corporate,"2006213090069:Other:This oven has been called in numerous amount of times, although not sure if the same issue about it was called in, but one of the legs(back right) that holds the tray is melted down and does not support the warming plate. This results in the plate tilting to one side. Thank you","Left oven 
Cook count 
208v
No errors 

Found burnt cavity stubs and burnt cook tray
Replaced stubs and cook plate
All other functions working properly 
L mag 8.4
R mag 8.4
Heater 10.8",Packaged Cook Plate Single Sided,1,PDB0819,ST22633027,Starbucks,leave oven Cook count 208vno error find burn cavity stub burn cook trayreplace stub cook plateall function work properly L mag 84r mag 84heat 108
2006213090069,2710 Dublin Blvd Dublin CA 94568 US,2022-08-17 12:08:05,22633 Starbucks Corporate,2006213090069:Constant Key Press:Touch screen is unresponsive half of the time,"Had manager cycle power 
Oven now operational
PHR
Closed with FCC at 1834pst",nan,0,,ST22633028,Starbucks,manager cycle power Oven operationalphrclose FCC 1834pst
