Index,Original Category,keywords,Description,Assigned Category
0,Other,"['4gb formatted fat', 'download error log', 'drives use 4gb', 'error log merrychef', 'fat standard windows', 'formatted fat standard', 'ideally usb drives', 'location ideally usb', 'log merrychef ovens', 'merrychef ovens location', 'ovens location ideally', 'standard windows format', 'usb drives use', 'use 4gb formatted']","download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Power Supply
1,Other,"['closed starbucks sending', 'currently closed starbucks', 'firmware upgrade store', 'keys alarm codes', 'merrychef firmware upgrade', 'sending keys alarm', 'starbucks sending keys', 'store currently closed', 'upgrade store currently']",MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Display Issue
2,Other,"['closed open date', 'currently closed open', 'date time reach', 'filter sensor loctite', 'fsm store schedule', 'loctite store currently', 'needs filter sensor', 'open date time', 'reach fsm store', 'sensor loctite store', 'store currently closed', 'time reach fsm']","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Air Filter Error
3,Other,"['09 21 instructions', '21 instructions cable', 'addison office return', 'attached procedures parts', 'cable swap attached', 'cable tags ties', 'cables kccm module', 'cables need returned', 'completion date 09', 'data cables kccm', 'date 09 21', 'firmware update required', 'firmware usb shipped', 'included information printed', 'included parts kit', 'information printed instruction', 'instruction sheet included', 'instructions cable swap', 'kccm module srb', 'kit cables need', 'market required completion', 'module srb required', 'need returned turbo', 'office return label', 'package cable tags', 'parts firmware usb', 'parts kit cables', 'parts package cable', 'printed instruction sheet', 'procedures parts package', 'replacement data cables', 'required completion date', 'required firmware update', 'required parts firmware', 'return label enclosed', 'returned turbo technicians', 'sheet included parts', 'shipped market required', 'srb required firmware', 'swap attached procedures', 'tags ties included', 'technicians addison office', 'ties included information', 'turbo technicians addison', 'update required parts', 'usb shipped market']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
4,Other,"['1174 st3299 number', '319 1174 st3299', '3299 discard existing', '503 319 1174', 'chef oven install', 'coordinate pickup unit', 'discard existing ngo', 'existing ngo unit', 'install store 3299', 'merry chef oven', 'ngo unit reachout', 'northwest coordinate pickup', 'oven install store', 'pickup unit 503', 'pickup used merry', 'reachout zach northwest', 'st3299 number 3608489629', 'store 3299 discard', 'unit 503 319', 'unit reachout zach', 'used merry chef', 'zach northwest coordinate']",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,Upper Impinger Plate
9,Other,"['aren fully warmed', 'chocolate croissants aren', 'croissants aren fully', 'fully warmed thing', 'happening chocolate cookies', 'thing happening chocolate', 'warmed thing happening']","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave
11,Other,"['crispier new replaced', 'getting things crispier', 'hotter oven getting', 'new replaced recently', 'oven getting things', 'oven temping hotter', 'recently really hot', 'replaced recently really', 'temping hotter oven', 'things crispier new']",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking
12,Other,"['closed open date', 'currently closed open', 'date time reach', 'filter sensor loctite', 'fsm store schedule', 'loctite store currently', 'needs filter sensor', 'open date time', 'reach fsm store', 'sensor loctite store', 'store currently closed', 'time reach fsm']","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Air Filter Error
13,Other,"['27th weeks complete', '285 labor store', 'complete retrofit project', 'installing panels october', 'labor store parts', 'location 285 labor', 'merrychef ovens location', 'october 27th weeks', 'ovens location 285', 'panels merrychef ovens', 'panels october 27th', 'parts supplied welbilt', 'project invoice welbilt', 'replacing panels merrychef', 'retrofit project invoice', 'start installing panels', 'store parts supplied', 'supplied welbilt start', 'weeks complete retrofit', 'welbilt start installing']","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Power Supply
14,Other,"['09 21 instructions', '21 instructions cable', 'addison office return', 'attached procedures parts', 'cable swap attached', 'cable tags ties', 'cables kccm module', 'cables need returned', 'completion date 09', 'data cables kccm', 'date 09 21', 'firmware update required', 'firmware usb shipped', 'included information printed', 'included parts kit', 'information printed instruction', 'instruction sheet included', 'instructions cable swap', 'kccm module srb', 'kit cables need', 'market required completion', 'module srb required', 'need returned turbo', 'office return label', 'package cable tags', 'parts firmware usb', 'parts kit cables', 'parts package cable', 'printed instruction sheet', 'procedures parts package', 'replacement data cables', 'required completion date', 'required firmware update', 'required parts firmware', 'return label enclosed', 'returned turbo technicians', 'sheet included parts', 'shipped market required', 'srb required firmware', 'swap attached procedures', 'tags ties included', 'technicians addison office', 'ties included information', 'turbo technicians addison', 'update required parts', 'usb shipped market']","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
