Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3
We did a complete training class for the use and care of the fryer.,"['care, class, complete, fryer, training, use']","['care fryer, class use, complete training, training class, use care']","['class use care, complete training class, training class use, use care fryer']"
We did a complete training class for the use and care of the fryer.,"['care, class, complete, fryer, training, use']","['care fryer, class use, complete training, training class, use care']","['class use care, complete training class, training class use, use care fryer']"
We did a complete training class for the use and care of the fryer.,"['care, class, complete, fryer, training, use']","['care fryer, class use, complete training, training class, use care']","['class use care, complete training class, training class use, use care fryer']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10.4.23  - ON ARRIVAL CHECKED IN WITH MOD HE SHOWED ME THE COOLER THAT WAS RUNNING WARM. FOUND THAT THE AIR TEMP SENSOR WAS BAD CALLED MANUFACTURER GOT THE PART NUMBER FOR THE SENSOR WILL ORDER AND RETURN TO REPLACE

10/10/23 - AFTER ARRIVING AT CUSTOMERS LOCATION CHECK IN WITH JOSHUA. INFORM I WAS THERE TO REPLACE RIC SENSOR. PROCEEDED TO UNIT LOCATION. TURN POWER OFF AND REMOVED PANELS. REMOVED ALL REPLACE SENSOR. RETURN POWER AND CHECK OPERATIONS, HAD TO ADJUST SET POINT AT THE CONTROLLER TO REACH 35 DEGREES BOX. UNIT IS NOW COOLING AND WORKING PROPERLY AT THIS TIME.","['101023, 10423, 35, adjust, arrival, arrive, bad, check, cool, customer, degrees, got, location, manufacturer, operation, order, point, power, replace, return, run, sensor, warm']","['101023 arrive, 10423 arrival, 35 degrees, adjust point, arrival run, arrive customer, bad manufacturer, check operation, check replace, customer location, degrees cool, got sensor, location check, location replace, manufacturer got, operation adjust, order return, point 35, power check, replace 101023, replace location, replace power, return replace, run warm, sensor bad, sensor order, warm sensor']","['101023 arrive customer, 10423 arrival run, 35 degrees cool, adjust point 35, arrival run warm, arrive customer location, bad manufacturer got, check operation adjust, check replace location, customer location check, got sensor order, location check replace, location replace power, manufacturer got sensor, operation adjust point, order return replace, point 35 degrees, power check operation, replace 101023 arrive, replace location replace, replace power check, return replace 101023, run warm sensor, sensor bad manufacturer, sensor order return, warm sensor bad']"
"10-3-23 ARRIVED ON SITE, CHECKED IN WITH MANAGER SHE WAS. NOT AWARE OF MY VISIT BUT SHE SHOWED ME THE UNIT, FOUND UNIT ISAT 80 DEGREES, INSPECTED AND CANT PULL OUT THE DRAWER FROM UNIT DUE TOO SMALL BOX ON RIGHT SITE MANAGER IS NOT AWARE OF THAT LEFT IN PLACE AND DID MY BEST TO CAPTURE DATA TAG ON UNIT, INSPECTED UNIT AND FOUND FAN IS RUNING BUT CONDENSER IS NOT, PULLED OUT UNIT TO HAVE ACES TO REAR PANEL REMOVED AND TROUBLESHOOTING UNT FOUND LOW PRESSURE SWITCH IS NOT CLOSING, BY-ASS TO TEST REFRIGERATION CYCLE, AND LET UNIT COME DOWN ON SET POINT BOTTOM SECTION AT 32 TOP GOING DOWN AT. THS TIME 30 DEGREES, AND STILL GOING DOWN ON TEMP, COMPRESSOR RUNING AT 3 AMPS, REMOVED POWER FROM UNIT AND. WILL ORDER NEW LO PRESSURE SWITCH, TAG UNIT FOR PART ORDER. RN/

10/11/23 ARRIVED ON SITE, CHECKED IN WITH MOD, MOVE COOLER AND STEAM TABLE IN ORDER TO GET ACCESS, PREPARED AREA TO PERFORM THE JOB, TOOK BACK AND SIDE COVER, SET TWO PIERCING VALVE THEN PERFORMED A R290 EXTRACTION PROCESS, THEN BLOW NITROGEN THROUGH THE TUBE TO ENSURE NO MORE PARTICLES OF R290, REMOVED THE VALVE AND SET NEW VALVE, CHECK FOR ANY LEAK, THEN PERFORMED VACUUMING ON THE SYSTEM, CHARGED UNIT WITH NEW R290 Y MANUFACTURE SPECIFICATION, PLUGGED UNIT AND TURNED ON, WAIT UNTIL REACH TEMPERATURE AND CHECKED NOT LEAK, UNIT IS OPERATING GOOD, RN,ISB////","['101123, 10323, 30, 32, 80, area, blow, byass, check, closing, come, cooler, datum, degrees, drawer, ensure, extraction, good, inspect, isat, low, manager, operate, performed, point, prepared, pressure, process, refrigeration, removed, run, section, site, small, switch, table, test, troubleshooting, turn, unit, vacuuming, wait']","['101123 site, 10323 site, 30 run, 32 30, 80 degrees, area performed, blow ensure, byass test, check vacuuming, closing byass, come point, cooler table, datum removed, degrees inspect, drawer unit, ensure check, extraction process, inspect drawer, isat 80, low pressure, manager datum, operate good, performed extraction, point section, prepared area, pressure switch, process blow, refrigeration unit, removed troubleshooting, run 101123, section 32, site cooler, site isat, site manager, small site, switch closing, table prepared, test refrigeration, troubleshooting low, turn wait, unit come, unit small, vacuuming turn, wait operate']","['101123 site cooler, 10323 site isat, 30 run 101123, 32 30 run, 80 degrees inspect, area performed extraction, blow ensure check, byass test refrigeration, check vacuuming turn, closing byass test, come point section, cooler table prepared, datum removed troubleshooting, degrees inspect drawer, drawer unit small, ensure check vacuuming, extraction process blow, inspect drawer unit, isat 80 degrees, low pressure switch, manager datum removed, performed extraction process, point section 32, prepared area performed, pressure switch closing, process blow ensure, refrigeration unit come, removed troubleshooting low, run 101123 site, section 32 30, site cooler table, site isat 80, site manager datum, small site manager, switch closing byass, table prepared area, test refrigeration unit, troubleshooting low pressure, turn wait operate, unit come point, unit small site, vacuuming turn wait, wait operate good']"
